#    r:        g(r):       error:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00278566           0
    0.987511   0.0182407           0
     1.01316    0.140874           0
     1.03881    0.637049           0
     1.06446     1.65776           0
     1.09011     2.73633           0
     1.11576     3.29897           0
     1.14141     3.55912           0
     1.16706     3.06583           0
     1.19271     2.74184           0
     1.21836     2.31043           0
     1.24401     1.82583           0
     1.26966     1.54394           0
     1.29531      1.3203           0
     1.32096     1.13991           0
     1.34661    0.955975           0
     1.37226    0.840856           0
     1.39791    0.779856           0
     1.42355    0.687299           0
      1.4492     0.64943           0
     1.47485    0.652873           0
      1.5005    0.567105           0
     1.52615    0.605743           0
      1.5518     0.53067           0
     1.57745    0.561585           0
      1.6031    0.560874           0
     1.62875    0.580655           0
      1.6544    0.580486           0
     1.68005    0.571757           0
      1.7057    0.637886           0
     1.73135    0.722716           0
       1.757    0.725778           0
     1.78265    0.723702           0
      1.8083    0.722823           0
     1.83395    0.826242           0
      1.8596    0.935143           0
     1.88525    0.969271           0
      1.9109     1.03875           0
     1.93655     1.11096           0
      1.9622     1.16855           0
     1.98785     1.26935           0
      2.0135     1.24438           0
     2.03915     1.25977           0
      2.0648     1.26356           0
     2.09045     1.28628           0
      2.1161     1.27508           0
     2.14174     1.24407           0
     2.16739      1.2152           0
     2.19304     1.24126           0
     2.21869     1.22294           0
     2.24434     1.22405           0
     2.26999     1.15018           0
     2.29564     1.13689           0
     2.32129      1.0917           0
     2.34694     1.07962           0
     2.37259     1.00974           0
     2.39824    0.979376           0
     2.42389     0.94825           0
     2.44954    0.896996           0
     2.47519    0.815712           0
     2.50084     0.77804           0
     2.52649    0.794498           0
     2.55214    0.817826           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00139283 0.000984881
    0.987511   0.0129626  0.00373223
     1.01316    0.148202  0.00518113
     1.03881    0.632677  0.00309179
     1.06446     1.63913   0.0131757
     1.09011     2.68061    0.039393
     1.11576     3.22663   0.0511498
     1.14141      3.4227   0.0964675
     1.16706     3.08024   0.0101925
     1.19271     2.89277    0.106722
     1.21836      2.4248   0.0808703
     1.24401     1.86149   0.0252123
     1.26966     1.57617   0.0227888
     1.29531     1.32364  0.00236256
     1.32096     1.13745  0.00174028
     1.34661    0.987953   0.0226121
     1.37226    0.873866   0.0233411
     1.39791    0.780752 0.000633717
     1.42355    0.707493   0.0142794
      1.4492    0.686321   0.0260856
     1.47485    0.657181  0.00304656
      1.5005     0.57696   0.0069686
     1.52615    0.554533   0.0362106
      1.5518     0.50884   0.0154361
     1.57745    0.532672   0.0204444
      1.6031    0.533009   0.0197034
     1.62875    0.536503   0.0312202
      1.6544    0.546038   0.0243584
     1.68005    0.545257   0.0187388
      1.7057    0.607723   0.0213284
     1.73135    0.659883   0.0444293
       1.757    0.685505   0.0284774
     1.78265    0.714943  0.00619332
      1.8083    0.750201   0.0193595
     1.83395    0.838201   0.0084559
      1.8596    0.966189   0.0219529
     1.88525     1.01416    0.031741
      1.9109     1.06577   0.0191028
     1.93655     1.15966   0.0344333
      1.9622     1.19258   0.0169871
     1.98785     1.24073   0.0202388
      2.0135     1.23628  0.00572514
     2.03915     1.27469   0.0105529
      2.0648     1.25597  0.00536743
     2.09045      1.2638   0.0159013
      2.1161      1.2374   0.0266401
     2.14174     1.25507  0.00777962
     2.16739      1.2479   0.0231209
     2.19304     1.24209  0.00058915
     2.21869     1.21696  0.00422348
     2.24434     1.21841  0.00398713
     2.26999     1.15775   0.0053533
     2.29564      1.1305  0.00451852
     2.32129     1.09302 0.000934692
     2.34694     1.07296  0.00471212
     2.37259     1.03539   0.0181391
     2.39824    0.970057  0.00658992
     2.42389    0.939547  0.00615394
     2.44954    0.902368  0.00379873
     2.47519    0.825371  0.00682984
     2.50084    0.812673   0.0244891
     2.52649    0.800245  0.00406386
     2.55214    0.813033  0.00338907
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00188442 0.000769553
    0.987511    0.012678  0.00249898
     1.01316    0.146986  0.00359374
     1.03881    0.624456  0.00702114
     1.06446     1.62327   0.0156479
     1.09011     2.61092    0.062674
     1.11576     3.19506    0.042744
     1.14141     3.42522   0.0643446
     1.16706     3.13759     0.04732
     1.19271     2.84798   0.0799967
     1.21836     2.42469   0.0539136
     1.24401     1.91821   0.0492649
     1.26966     1.62941   0.0460561
     1.29531     1.36109    0.030619
     1.32096      1.1663   0.0235892
     1.34661     1.00053   0.0182415
     1.37226    0.873001   0.0155767
     1.39791    0.773157  0.00621611
     1.42355    0.693779    0.014697
      1.4492     0.65953   0.0279451
     1.47485     0.61331   0.0358783
      1.5005    0.565696   0.0103036
     1.52615     0.54615   0.0250921
      1.5518    0.522818   0.0153672
     1.57745    0.522319   0.0160383
      1.6031    0.535303   0.0132685
     1.62875    0.540359   0.0210503
      1.6544    0.547143    0.016264
     1.68005    0.538435    0.013678
      1.7057    0.592682   0.0187884
     1.73135     0.63132   0.0376991
       1.757    0.685465   0.0189849
     1.78265    0.731728    0.014313
      1.8083    0.766039   0.0182702
     1.83395    0.845811  0.00838964
      1.8596    0.959933   0.0155011
     1.88525     1.02374   0.0225593
      1.9109     1.07647    0.015445
     1.93655     1.14731   0.0250709
      1.9622     1.19427   0.0114083
     1.98785     1.23789   0.0136893
      2.0135     1.24708  0.00960303
     2.03915     1.25657   0.0163857
      2.0648     1.25086  0.00549976
     2.09045     1.26649   0.0108268
      2.1161     1.23691   0.0177646
     2.14174     1.25041  0.00643066
     2.16739     1.25875   0.0177793
     2.19304     1.24224 0.000411499
     2.21869     1.23592   0.0157339
     2.24434     1.22509  0.00607051
     2.26999     1.19004   0.0266077
     2.29564     1.14173  0.00965574
     2.32129     1.10717     0.01157
     2.34694     1.06493  0.00726859
     2.37259      1.0237   0.0154051
     2.39824    0.969115  0.00446009
     2.42389     0.92384   0.0134656
     2.44954    0.885265   0.0141921
     2.47519    0.823264  0.00486725
     2.50084    0.803673   0.0179039
     2.52649    0.797886  0.00332448
     2.55214    0.808994   0.0039976
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00141331 0.000706806
    0.987511   0.0119729  0.00197119
     1.01316    0.141648   0.0053519
     1.03881    0.637959   0.0128242
     1.06446     1.59048   0.0307231
     1.09011     2.59154    0.049913
     1.11576     3.18659   0.0328866
     1.14141        3.42   0.0484693
     1.16706     3.13957    0.035531
     1.19271     2.81699   0.0657264
     1.21836      2.3942   0.0482899
     1.24401     1.92647   0.0376362
     1.26966     1.65189    0.039647
     1.29531      1.3708   0.0244571
     1.32096     1.20039   0.0344141
     1.34661     1.01804   0.0204204
     1.37226    0.879232   0.0128686
     1.39791    0.778998  0.00687934
     1.42355    0.710681   0.0183237
      1.4492    0.677834    0.026278
     1.47485    0.612395   0.0269204
      1.5005    0.552694   0.0136571
     1.52615    0.547691   0.0188664
      1.5518    0.521197   0.0116106
     1.57745    0.514324   0.0138791
      1.6031    0.527756   0.0119058
     1.62875    0.544914    0.016273
      1.6544    0.552007   0.0129048
     1.68005    0.550157   0.0144323
      1.7057     0.58492   0.0156126
     1.73135    0.617859   0.0305832
       1.757    0.674454   0.0171367
     1.78265    0.736532   0.0115127
      1.8083     0.75897   0.0150083
     1.83395    0.852542  0.00857766
      1.8596    0.955908   0.0121371
     1.88525     1.01722   0.0178351
      1.9109     1.08452   0.0135215
     1.93655     1.13255   0.0227399
      1.9622     1.18838  0.00995997
     1.98785     1.22936   0.0126493
      2.0135     1.24221  0.00834326
     2.03915     1.25301   0.0126705
      2.0648     1.23977   0.0104522
     2.09045     1.26611  0.00812691
      2.1161      1.2405   0.0136818
     2.14174      1.2515  0.00491415
     2.16739     1.25369   0.0140349
     2.19304     1.24681  0.00396295
     2.21869     1.25696   0.0217064
     2.24434     1.24502   0.0178501
     2.26999     1.19679   0.0207945
     2.29564     1.14815  0.00912769
     2.32129     1.11174  0.00953653
     2.34694     1.07053  0.00729578
     2.37259     1.01219    0.015261
     2.39824    0.969014  0.00334621
     2.42389    0.927557      0.0106
     2.44954    0.888494   0.0110053
     2.47519    0.831661  0.00813616
     2.50084    0.821658    0.020565
     2.52649    0.809773   0.0105926
     2.55214    0.815329   0.0062515
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
